func,algo,best,mean,std,median,worst,source_run
F15,CA,-304.7327689496051,110269.95822145484,235374.7276565375,6291.099491376652,1211534.8013976433,original 6-algorithm run (opfunu)
F15,CA-static,-634.7123073266457,79800.50369350305,115563.63353305485,10784.297695069969,485227.2215438787,original 6-algorithm run (opfunu)
F15,GA,-560.2206513473836,100772.637823428,186842.3695654112,3554.8164470318948,791135.0898801931,original 6-algorithm run (opfunu)
F15,GWO,76834.192177099,2407493.16107144,2305350.774738873,1623272.1482788404,6395407.963318536,original 6-algorithm run (opfunu)
F15,PSO,-274.4440272547249,1377404.1220485806,4153265.838965062,43899.73371370676,21331654.143205643,original 6-algorithm run (opfunu)
F15,WOA,23935.38387184117,1231808.530239391,1741063.6715834765,531179.8944383266,6353093.563109158,original 6-algorithm run (opfunu)
F19,CA,-383.0431921118616,105.66966809334616,212.51865928971787,117.24211054795272,585.9227484351841,original 6-algorithm run (opfunu)
F19,CA-static,-399.90353132664063,3.483915749511986,167.29515801032107,-18.90271121718581,280.89489440139414,original 6-algorithm run (opfunu)
F19,GA,-429.2755536152349,-89.43038468617536,209.3131959188172,-127.63037124663332,320.2389646667334,original 6-algorithm run (opfunu)
F19,GWO,-105.45479306991685,1010.1973419022077,1187.2029569893552,756.553302890891,5288.078533877628,original 6-algorithm run (opfunu)
F19,PSO,-154.1977791003883,304.95727660340015,301.40188725546875,280.61585282665214,1162.3518732949883,original 6-algorithm run (opfunu)
F19,WOA,3679.16701350143,10711.722443777777,3890.1109309280014,10795.642786454206,17708.415810468956,original 6-algorithm run (opfunu)
F21,CA,-8282.224610509244,-5239.464352853762,1653.4635045318414,-4820.48845821386,-1945.2657466402304,original 6-algorithm run (opfunu)
F21,CA-static,-6920.962241945675,-4816.2777060245135,975.4066156699412,-4740.962790763,-3104.477462113344,original 6-algorithm run (opfunu)
F21,GA,-9592.392362710334,-7475.054013496848,1379.5905545100172,-7666.103007143309,-4236.7282487311,original 6-algorithm run (opfunu)
F21,GWO,152.32811046726374,235.9997030923164,67.49469335097979,219.3675055609806,475.830488248962,original 6-algorithm run (opfunu)
F21,PSO,-3538.094501093486,-113.28123073415624,845.4778534676675,158.0448346103401,248.86996256072825,original 6-algorithm run (opfunu)
F21,WOA,-4974.2341388636105,-604.0254130841281,1685.9937115443083,38.90008843209171,2589.715057440255,original 6-algorithm run (opfunu)
F16,CA,666.2074349483482,1549.163360995787,432.079771698663,1452.9144613613023,2332.5376907296145,8-algorithm run with L-SHADE/CMA-ES (opfunu)
F16,CA-static,505.602385234617,1338.40078924403,524.744559809814,1195.485211304282,2707.9646153874955,8-algorithm run with L-SHADE/CMA-ES (opfunu)
F16,GA,325.594131266321,1184.1174065203338,518.8369020186503,1110.1408419602296,2512.7259283662625,8-algorithm run with L-SHADE/CMA-ES (opfunu)
F16,GWO,56684.4731450429,134036.02578266308,58208.0429873974,128026.43930700808,249048.4146901173,8-algorithm run with L-SHADE/CMA-ES (opfunu)
F16,PSO,1704.3687961067517,55570.02742471918,46343.525817090354,51285.60649631626,187052.63430797769,8-algorithm run with L-SHADE/CMA-ES (opfunu)
F16,WOA,37217.97848683503,1484959830.2268186,7993884169.891328,128068.69653816018,44533342016.52512,8-algorithm run with L-SHADE/CMA-ES (opfunu)
F16,L-SHADE,65.56726797628858,907.628244302577,620.0970513983901,681.450922168633,2447.027626972018,8-algorithm run with L-SHADE/CMA-ES (opfunu)
F16,CMA-ES,-78.08208251439873,585.2996610390983,422.4154844918357,511.0038663286632,1850.863778989976,8-algorithm run with L-SHADE/CMA-ES (opfunu)
F9,CA,-4586.0155238811785,-2455.6654630068506,941.8978842910395,-2531.3378812688798,-885.1318461613791,"10-run audit probe (opfunu), not the full 30-run protocol"
F9,CA-static,-4011.5941185027186,-2069.3550398323587,1208.260847193889,-2402.967856605389,-40.381516814246424,"10-run audit probe (opfunu), not the full 30-run protocol"
